"pid","filename","type","year","month","commits","mdegree","mdegree2","mbetween","mbetween2","mclose","mclose2","mweight","diameter","networksize","networksize2","age","density","connect"
10397,"OssPPNet2002_3_10397.net","PP",2002,3,693,5,25,0,0,1,1,1,1,6,36,3,1,1
10397,"OssPPNet2002_4_10397.net","PP",2002,4,240,4,16,0,0,1,1,1,1,5,25,4,1,1
10397,"OssPPNet2002_5_10397.net","PP",2002,5,77,3,9,0,0,1,1,1,1,4,16,5,1,1
10397,"OssPPNet2002_6_10397.net","PP",2002,6,681,3,9,0,0,1,1,1,1,4,16,6,1,1
10397,"OssPPNet2002_7_10397.net","PP",2002,7,390,3,9,0,0,1,1,1,1,4,16,7,1,1
10397,"OssPPNet2002_8_10397.net","PP",2002,8,21,4,16,0,0,1,1,1.1,1,5,25,8,1,1
10397,"OssPPNet2002_9_10397.net","PP",2002,9,88,4,16,0,0,1,1,1.3,1,5,25,9,1,1
10397,"OssPPNet2002_10_10397.net","PP",2002,10,66,4,16,0,0,1,1,1,1,5,25,10,1,1
10397,"OssPPNet2002_11_10397.net","PP",2002,11,342,5,25,0,0,1,1,1,1,6,36,11,1,1
10397,"OssPPNet2002_12_10397.net","PP",2002,12,380,4,16,0,0,1,1,1,1,5,25,12,1,1
10397,"OssPPNet2003_1_10397.net","PP",2003,1,648,7,49,0,0,1,1,1,1,8,64,1,1,1
10397,"OssPPNet2003_2_10397.net","PP",2003,2,106,5,25,0,0,1,1,1,1,6,36,2,1,1
10397,"OssPPNet2003_3_10397.net","PP",2003,3,18,6,36,0,0,1,1,1,1,7,49,3,1,1
10397,"OssPPNet2003_4_10397.net","PP",2003,4,18,6,36,0,0,1,1,1,1,7,49,4,1,1
10397,"OssPPNet2003_5_10397.net","PP",2003,5,100,6,36,0,0,1,1,1,1,7,49,5,1,1
10397,"OssPPNet2003_6_10397.net","PP",2003,6,2242,9,81,0,0,1,1,1.02222,1,10,100,6,1,1
10397,"OssPPNet2003_7_10397.net","PP",2003,7,2890,10,100,0,0,1,1,1.12727,1,11,121,7,1,1
10397,"OssPPNet2003_8_10397.net","PP",2003,8,1077,10,100,0,0,1,1,1.03636,1,11,121,8,1,1
10397,"OssPPNet2003_9_10397.net","PP",2003,9,990,11,121,0,0,1,1,1.04545,1,12,144,9,1,1
10397,"OssPPNet2003_10_10397.net","PP",2003,10,1649,13,169,0,0,1,1,1.03297,1,14,196,10,1,1
10397,"OssPPNet2003_11_10397.net","PP",2003,11,491,11,121,0,0,1,1,1.06061,1,12,144,11,1,1
10397,"OssPPNet2003_12_10397.net","PP",2003,12,1416,11,121,0,0,1,1,1.04545,1,12,144,12,1,1
10397,"OssPPNet2004_1_10397.net","PP",2004,1,2185,14,196,0,0,1,1,1.02857,1,15,225,1,1,1
10397,"OssPPNet2004_2_10397.net","PP",2004,2,850,14.235,202.644,0.882353,0.778546816609,0.919634,0.845726693956,1.00826,2,17,289,2,0.889706,1
10397,"OssPPNet2004_3_10397.net","PP",2004,3,836,17,289,0,0,1,1,1.01961,1,18,324,3,1,1
10397,"OssPPNet2004_4_10397.net","PP",2004,4,244,12,144,0,0,1,1,1.03846,1,13,169,4,1,1
10397,"OssPPNet2004_5_10397.net","PP",2004,5,556,12,144,0,0,1,1,1.03846,1,13,169,5,1,1
10397,"OssPPNet2004_6_10397.net","PP",2004,6,443,13,169,0,0,1,1,1.03297,1,14,196,6,1,1
10397,"OssPPNet2004_7_10397.net","PP",2004,7,1040,13,169,0,0,1,1,1.03297,1,14,196,7,1,1
10397,"OssPPNet2004_8_10397.net","PP",2004,8,1139,15,225,0,0,1,1,1.025,1,16,256,8,1,1
10397,"OssPPNet2004_9_10397.net","PP",2004,9,1232,14,196,0,0,1,1,1.05714,1,15,225,9,1,1
10397,"OssPPNet2004_10_10397.net","PP",2004,10,1283,13.125,172.266,0,0,0.472656,0.223403694336,1.08571,1,16,256,10,0.875,0.875
10397,"OssPPNet2004_11_10397.net","PP",2004,11,2014,13.125,172.266,0,0,0.472656,0.223403694336,1.04762,1,16,256,11,0.875,0.875
10397,"OssPPNet2004_12_10397.net","PP",2004,12,1667,11.625,135.141,0.75,0.5625,0.451631,0.203970560161,1.02151,2,16,256,12,0.775,0.875
10397,"OssPPNet2005_1_10397.net","PP",2005,1,3041,13.667,186.778,0.722222,0.521604617284,0.457308,0.209130606864,1.03252,2,18,324,1,0.803922,0.888889
10397,"OssPPNet2005_2_10397.net","PP",2005,2,353,11.5,132.25,0.8125,0.66015625,0.450104,0.202593610816,1.01087,2,16,256,2,0.766667,0.875
10397,"OssPPNet2005_3_10397.net","PP",2005,3,603,15.111,228.346,0,0,0.475309,0.225918645481,1.01471,1,18,324,3,0.888889,0.888889
10397,"OssPPNet2005_4_10397.net","PP",2005,4,348,15,225,0,0,1,1,1.01667,1,16,256,4,1,1
10397,"OssPPNet2005_5_10397.net","PP",2005,5,833,14,196,0,0,1,1,1.01905,1,15,225,5,1,1
10397,"OssPPNet2005_6_10397.net","PP",2005,6,401,14,196,0,0,1,1,1.0381,1,15,225,6,1,1
10397,"OssPPNet2005_7_10397.net","PP",2005,7,412,14,196,0,0,1,1,1.0381,1,15,225,7,1,1
10397,"OssPPNet2005_8_10397.net","PP",2005,8,787,14,196,0,0,1,1,1.00952,1,15,225,8,1,1
10397,"OssPPNet2005_9_10397.net","PP",2005,9,1975,11,121,0,0,1,1,1,1,12,144,9,1,1
10415,"OssPPNet2004_8_10415.net","PP",2004,8,915,2,4,0.5,0.25,0.775,0.600625,1.75,2,4,16,8,0.666667,1
10415,"OssPPNet2004_9_10415.net","PP",2004,9,259,2,4,0.5,0.25,0.775,0.600625,1.75,2,4,16,9,0.666667,1
10415,"OssPPNet2004_10_10415.net","PP",2004,10,112,1.5,2.25,1,1,0.625,0.390625,2,3,4,16,10,0.5,1
