"pid","filename.x","type.x","year","month","commits.x","mdegree.x","mdegree2.x","mbetween.x","mbetween2.x","mclose.x","mclose2.x","mweight.x","diameter.x","networksize.x","networksize2.x","age.x","density.x","connect.x","filename.y","type.y","commits.y","mdegree.y","mdegree2.y","mbetween.y","mbetween2.y","mclose.y","mclose2.y","mweight.y","diameter.y","networksize.y","networksize2.y","age.y","density.y","connect.y"
10909,"OssMMNet2002_10_10909.net","MM",2002,10,712,0.207,0.043,0.0344828,0.00118906349584,0.0348286,0.00121303137796,2,2,29,841,1,0.00738916,0.00985222,"OssPPNet2002_10_10909.net","PP",712,2.353,5.536,3.70588,13.7335465744,0.123504,0.015253238016,1.15,3,17,289,10,0.147059,0.485294
10909,"OssMMNet2002_11_10909.net","MM",2002,11,559,0.467,0.218,0.2,0.04,0.034321,0.001177931041,2,3,30,900,2,0.016092,0.0275862,"OssPPNet2002_11_10909.net","PP",559,2.364,5.587,1.77273,3.1425716529,0.064536,0.004164895296,1.23077,3,22,484,11,0.112554,0.264069
10909,"OssMMNet2002_12_10909.net","MM",2002,12,126,0.37,0.137,0.0740741,0.00548697229081,0.0378186,0.00143024650596,2.2,2,27,729,3,0.014245,0.019943,"OssPPNet2002_12_10909.net","PP",126,3.2,10.24,0.4,0.16,0.0658288,0.00433343090944,1.1875,2,20,400,12,0.168421,0.210526
10909,"OssMMNet2003_1_10909.net","MM",2003,1,756,0.571,0.327,0.742857,0.551836522449,0.0306888,0.00094180244544,2.2,2,35,1225,4,0.0168067,0.0605042,"OssPPNet2003_1_10909.net","PP",756,4,16,1.22727,1.5061916529,0.069954,0.004893562116,1.27273,3,22,484,1,0.190476,0.298701
10909,"OssMMNet2003_2_10909.net","MM",2003,2,402,0.263,0.069,0.0263158,0.00069252132964,0.0265521,0.00070501401441,2.4,2,38,1444,5,0.00711238,0.00853485,"OssPPNet2003_2_10909.net","PP",402,2.522,6.359,2.04348,4.1758105104,0.063587,0.004043306569,1.24138,3,23,529,2,0.114625,0.272727
10909,"OssMMNet2003_3_10909.net","MM",2003,3,380,0.205,0.042,0.102564,0.010519374096,0.0258906,0.00067032316836,2,3,39,1521,6,0.00539811,0.00944669,"OssPPNet2003_3_10909.net","PP",380,2.071,4.291,6.67857,44.6032972449,0.0617407,0.00381191403649,1.13793,5,28,784,3,0.0767196,0.367725
10909,"OssMMNet2003_4_10909.net","MM",2003,4,396,0.372,0.138,0.604651,0.365602831801,0.0238746,0.00056999652516,2,5,43,1849,7,0.00885936,0.0243632,"OssPPNet2003_4_10909.net","PP",396,2.96,8.762,4.8,23.04,0.0748099,0.00559652113801,1.18919,5,25,625,4,0.123333,0.403333
10909,"OssMMNet2003_5_10909.net","MM",2003,5,437,0.186,0.035,0.186047,0.034613486209,0.0235274,0.00055353855076,2,3,43,1849,8,0.00442968,0.0110742,"OssPPNet2003_5_10909.net","PP",437,3.484,12.137,10.3871,107.89184641,0.0742354,0.00551089461316,1.07407,5,31,961,5,0.116129,0.501075
10909,"OssMMNet2003_9_10909.net","MM",2003,9,711,0.071,0.005,0,0,0.0178803,0.00031970512809,2.5,1,56,3136,9,0.0012987,0.0012987,"OssPPNet2003_9_10909.net","PP",711,2.857,8.163,14.0714,198.00429796,0.0434104,0.00188446282816,1.06667,6,42,1764,9,0.0696864,0.383275
10909,"OssMMNet2003_10_10909.net","MM",2003,10,1324,0.094,0.009,0.0625,0.00390625,0.0156725,0.00024562725625,2.33333,3,64,4096,10,0.0014881,0.00297619,"OssPPNet2003_10_10909.net","PP",1324,2.651,7.029,7.09302,50.3109327204,0.0355984,0.00126724608256,1.08772,5,43,1849,10,0.0631229,0.282392
10909,"OssMMNet2003_11_10909.net","MM",2003,11,1910,0.328,0.107,0.229508,0.052673922064,0.0165961,0.00027543053521,2.2,3,61,3721,11,0.00546448,0.0114754,"OssPPNet2003_11_10909.net","PP",1910,3.348,11.208,7.36957,54.3105619849,0.0341004,0.00116283728016,1.15584,4,46,2116,11,0.0743961,0.295652
10909,"OssMMNet2003_12_10909.net","MM",2003,12,2087,0.215,0.046,0.261538,0.068402125444,0.0155155,0.00024073074025,2.14286,4,65,4225,12,0.00336538,0.00817308,"OssPPNet2003_12_10909.net","PP",2087,3.373,11.374,16.5686,274.51850596,0.0393047,0.00154485944209,1.10465,6,51,2601,12,0.067451,0.417255
