"pid","type","year","month","commits","mdegree","mdegree2","mbetween","mbetween2","mclose","mclose2","mweight","diameter","networksize","networksize2","age","density","connect"
26643,"MM",2002,9,158,0.204082,0.041649462724,0,0,0.204082,0.041649462724,2,1,7,49,9,0.285714,0.285714
26643,"MM",2002,10,247,0.28125,0.0791015625,0,0,0.28125,0.0791015625,2,1,8,64,10,0.535714,0.535714
26643,"MM",2002,11,336,0.415844,0.172926232336,0.625,0.390625,0.415844,0.172926232336,2,2,8,64,11,0.571429,0.75
26643,"MM",2002,12,263,0.28125,0.0791015625,0,0,0.28125,0.0791015625,2.06667,1,8,64,12,0.535714,0.535714
26643,"MM",2003,1,231,0.27036,0.0730945296,0.375,0.140625,0.27036,0.0730945296,2.08333,2,8,64,1,0.428571,0.535714
26643,"MM",2003,2,569,0.280988,0.078954256144,0.111111,0.012345654321,0.280988,0.078954256144,2.65,2,9,81,2,0.555556,0.583333
26643,"MM",2003,3,834,0.157446,0.024789242916,0.3,0.09,0.157446,0.024789242916,2.16667,2,10,100,3,0.266667,0.333333
26643,"MM",2003,4,537,0.202333,0.040938642889,0.2,0.04,0.202333,0.040938642889,2.31579,2,10,100,4,0.422222,0.466667
26643,"MM",2003,5,764,0.16,0.0256,0,0,0.16,0.0256,2,1,10,100,5,0.333333,0.333333
26643,"MM",2003,6,584,0.16,0.0256,0,0,0.16,0.0256,2,1,10,100,6,0.333333,0.333333
26643,"MM",2003,7,56,0.16,0.0256,0,0,0.16,0.0256,2,1,10,100,7,0.333333,0.333333
26643,"MM",2003,8,4,0.16,0.0256,0,0,0.16,0.0256,2,1,10,100,8,0.333333,0.333333
26643,"MM",2003,9,342,0.12993,0.0168818049,0.416667,0.173611388889,0.12993,0.0168818049,2,2,12,144,9,0.242424,0.318182
26643,"MM",2003,10,498,0.131944,0.017409219136,0,0,0.131944,0.017409219136,2,1,12,144,10,0.318182,0.318182
26643,"MM",2003,11,591,0.272734,0.074383834756,0.444444,0.197530469136,0.272734,0.074383834756,2.23529,2,9,81,11,0.472222,0.583333
26643,"MM",2003,12,132,0.415844,0.172926232336,0.625,0.390625,0.415844,0.172926232336,2,2,8,64,12,0.571429,0.75
26643,"MM",2004,1,35,0.28125,0.0791015625,0,0,0.28125,0.0791015625,2,1,8,64,1,0.535714,0.535714
26643,"MM",2004,2,465,0.28125,0.0791015625,0,0,0.28125,0.0791015625,2,1,8,64,2,0.535714,0.535714
26643,"MM",2004,3,454,0.28125,0.0791015625,0,0,0.28125,0.0791015625,2,1,8,64,3,0.535714,0.535714
26643,"MM",2004,4,233,0.28125,0.0791015625,0,0,0.28125,0.0791015625,2.06667,1,8,64,4,0.535714,0.535714
26643,"MM",2004,5,67,0.267008,0.071293272064,0.5,0.25,0.267008,0.071293272064,2,2,8,64,5,0.392857,0.535714
26643,"MM",2004,6,53,0.15976,0.0255232576,0.25,0.0625,0.15976,0.0255232576,2,2,8,64,6,0.142857,0.214286
26643,"MM",2004,7,1,0.167347,0.028005018409,0,0,0.167347,0.028005018409,2,1,7,49,7,0.142857,0.142857
26643,"MM",2004,8,68,0.167347,0.028005018409,0,0,0.167347,0.028005018409,2,1,7,49,8,0.142857,0.142857
26643,"MM",2005,2,59,0.219444,0.048155669136,0,0,0.219444,0.048155669136,2,1,6,36,2,0.266667,0.266667
26687,"MM",2002,3,106,0.0964187,0.00929656570969,0,0,0.0964187,0.00929656570969,2,1,11,121,3,0.0545455,0.0545455
26687,"MM",2002,4,24,0.0964187,0.00929656570969,0,0,0.0964187,0.00929656570969,2,1,11,121,4,0.0545455,0.0545455
26687,"MM",2002,5,54,0.0964187,0.00929656570969,0,0,0.0964187,0.00929656570969,2,1,11,121,5,0.0545455,0.0545455
26687,"MM",2002,6,24,0.117143,0.013722482449,0,0,0.117143,0.013722482449,2,1,10,100,6,0.133333,0.133333
26687,"MM",2002,7,199,0.103306,0.010672129636,0,0,0.103306,0.010672129636,2,1,11,121,7,0.109091,0.109091
26687,"MM",2002,8,168,0.132231,0.017485037361,0,0,0.132231,0.017485037361,2,1,11,121,8,0.272727,0.272727
